"id","genus","species","latbi","commonName","plantNickname","year","budburst","leafout","coloredLeaves","DBH","accessionDate","lat","long"
"BEAL_12843_A","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*A",2022,105,125,250,73.8,"10-15-1900",42.3020682,-71.12386246
"BEAL_12843_A","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*A",2023,104,104,256,73.8,"10-15-1900",42.3020682,-71.12386246
"BEAL_12843_A","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*A",2024,NA,124,NA,73.8,"10-15-1900",42.3020682,-71.12386246
"BEAL_12843_D","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*D",2015,NA,NA,270,70.9,"10-15-1900",42.302041,-71.12388059
"BEAL_12843_D","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*D",2016,112,119,271,70.9,"10-15-1900",42.302041,-71.12388059
"BEAL_12843_D","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*D",2017,102,118,276,70.9,"10-15-1900",42.302041,-71.12388059
"BEAL_12843_D","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*D",2018,114,123,266,70.9,"10-15-1900",42.302041,-71.12388059
"BEAL_12843_D","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*D",2019,107,122,260,70.9,"10-15-1900",42.302041,-71.12388059
"BEAL_12843_D","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*D",2020,112,126,258,70.9,"10-15-1900",42.302041,-71.12388059
"BEAL_12843_E","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*E",2015,NA,NA,250,56.2,"10-15-1900",42.30194577,-71.12374252
"BEAL_12843_E","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*E",2016,102,114,260,56.2,"10-15-1900",42.30194577,-71.12374252
"BEAL_12843_E","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*E",2017,102,117,242,56.2,"10-15-1900",42.30194577,-71.12374252
"BEAL_12843_E","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*E",2018,114,122,280,56.2,"10-15-1900",42.30194577,-71.12374252
"BEAL_12843_E","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*E",2019,107,110,260,56.2,"10-15-1900",42.30194577,-71.12374252
"BEAL_12843_E","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*E",2020,108,126,258,56.2,"10-15-1900",42.30194577,-71.12374252
"BEAL_12843_H","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*H",2015,NA,NA,282,64.6,"10-15-1900",42.30199149,-71.12371027
"BEAL_12843_H","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*H",2016,110,121,281,64.6,"10-15-1900",42.30199149,-71.12371027
"BEAL_12843_H","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*H",2017,102,117,288,64.6,"10-15-1900",42.30199149,-71.12371027
"BEAL_12843_H","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*H",2018,118,122,293,64.6,"10-15-1900",42.30199149,-71.12371027
"BEAL_12843_H","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*H",2019,112,122,265,64.6,"10-15-1900",42.30199149,-71.12371027
"BEAL_12843_H","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*H",2020,120,126,271,64.6,"10-15-1900",42.30199149,-71.12371027
"BENI_1199_D","Betula","nigra","Betula nigra","River birch","1199*D",2015,NA,NA,282,68,"07-17-1877",42.30215088,-71.12401559
"BENI_1199_D","Betula","nigra","Betula nigra","River birch","1199*D",2016,114,132,305,68,"07-17-1877",42.30215088,-71.12401559
"BENI_1199_D","Betula","nigra","Betula nigra","River birch","1199*D",2017,100,118,283,68,"07-17-1877",42.30215088,-71.12401559
"BENI_1199_D","Betula","nigra","Betula nigra","River birch","1199*D",2018,125,125,294,68,"07-17-1877",42.30215088,-71.12401559
"BENI_1199_D","Betula","nigra","Betula nigra","River birch","1199*D",2019,112,126,264,68,"07-17-1877",42.30215088,-71.12401559
"BENI_1199_D","Betula","nigra","Betula nigra","River birch","1199*D",2020,126,128,271,68,"07-17-1877",42.30215088,-71.12401559
"BENI_1199_J","Betula","nigra","Betula nigra","River birch","1199*J",2015,NA,NA,270,89.1,"07-17-1877",42.30252077,-71.12397574
"BENI_1199_J","Betula","nigra","Betula nigra","River birch","1199*J",2016,114,130,279,89.1,"07-17-1877",42.30252077,-71.12397574
"BENI_1199_J","Betula","nigra","Betula nigra","River birch","1199*J",2017,100,118,276,89.1,"07-17-1877",42.30252077,-71.12397574
