"","id","year","genus","species","latbi","commonName","plantNickname","budburst","leafout","coloredLeaves","DBH","lengthMM","accessionDate","pgs","fgs","budburstGDD5","leafoutGDD5","leafcolorGDD5","pgsGDD5","fgsGDD5","budburstGDD10","leafoutGDD10","leafcolorGDD10","pgsGDD10","fgsGDD10","pgsGDD10AVG"
"56","AEFL_12651_C",2019,"Aesculus","flava","Aesculus flava","Yellow buckeye","12651*C",NA,111,243,35.3,1.0668,"07-01-1906",132,NA,NA,228.5,2104.28333333333,1875.78333333333,NA,NA,101.872222222222,1370.50555555556,1268.63333333333,NA,1404.21666666667
"57","AEFL_12651_C",2020,"Aesculus","flava","Aesculus flava","Yellow buckeye","12651*C",101,112,197,35.3,0.5461,"07-01-1906",85,96,180.861111111111,222.944444444445,1271.77777777778,1048.83333333333,1090.91666666667,61.2500000000001,75.8055555555556,775.805555555556,700,714.555555555556,1266
"58","AEFL_12651_C",2021,"Aesculus","flava","Aesculus flava","Yellow buckeye","12651*C",NA,100,NA,35.3,1.1811,"07-01-1906",NA,NA,NA,174.944444444444,NA,NA,NA,NA,77.7222222222222,NA,NA,NA,1204.52777777778
"59","AEFL_12651_D",2015,"Aesculus","flava","Aesculus flava","Yellow buckeye","12651*D",NA,165,255,60.2,2.4765,"07-01-1906",90,NA,NA,731.675,2299.14722222222,1567.47222222222,NA,NA,423.775,1541.24722222222,1117.47222222222,NA,947.908333333333
"60","AEFL_12651_D",2016,"Aesculus","flava","Aesculus flava","Yellow buckeye","12651*D",111,112,274,60.2,1.1176,"07-01-1906",162,163,255.144444444444,265.2,2676.37222222222,2411.17222222222,2421.22777777778,105.511111111111,113.066666666667,1766.95277777778,1653.88611111111,1661.44166666667,1646.125
"61","AEFL_12651_D",2017,"Aesculus","flava","Aesculus flava","Yellow buckeye","12651*D",108,108,267,60.2,1.8161,"07-01-1906",159,159,242.377777777778,242.377777777778,2433.71666666667,2191.33888888889,2191.33888888889,108.713888888889,108.713888888889,1558.98333333333,1450.26944444445,1450.26944444445,1463.78611111111
"62","AEFL_12651_D",2018,"Aesculus","flava","Aesculus flava","Yellow buckeye","12651*D",114,117,159,60.2,2.1336,"07-01-1906",42,45,202.072222222222,226.783333333333,701.869444444444,475.086111111111,499.797222222222,75.2,86.75,373.638888888889,286.888888888889,298.438888888889,1008.52777777778
"63","AEFL_12651_D",2019,"Aesculus","flava","Aesculus flava","Yellow buckeye","12651*D",NA,115,272,60.2,2.6797,"07-01-1906",157,NA,NA,253.602777777778,2483.2,2229.59722222222,NA,NA,112.269444444445,1613.13611111111,1500.86666666667,NA,1393.81944444445
"64","AEFL_12651_D",2020,"Aesculus","flava","Aesculus flava","Yellow buckeye","12651*D",NA,112,250,60.2,0.8382,"07-01-1906",138,NA,NA,222.944444444445,2283.94444444444,2061,NA,NA,75.8055555555556,1522.97222222222,1447.16666666667,NA,1266
"65","AEFL_12651_H",2015,"Aesculus","flava","Aesculus flava","Yellow buckeye","12651*H",NA,165,255,49.1,1.7272,"07-01-1906",90,NA,NA,731.675,2299.14722222222,1567.47222222222,NA,NA,423.775,1541.24722222222,1117.47222222222,NA,947.908333333333
"66","AEFL_12651_H",2016,"Aesculus","flava","Aesculus flava","Yellow buckeye","12651*H",110,112,262,49.1,1.0922,"07-01-1906",150,152,250.702777777778,265.2,2527.22222222222,2262.02222222222,2276.51944444444,104.172222222222,113.066666666667,1673.25833333333,1560.19166666667,1569.08611111111,1646.125
"67","AEFL_12651_H",2017,"Aesculus","flava","Aesculus flava","Yellow buckeye","12651*H",108,108,NA,49.1,0.9652,"07-01-1906",NA,NA,242.377777777778,242.377777777778,NA,NA,NA,108.713888888889,108.713888888889,NA,NA,NA,1463.78611111111
"68","AEFL_12651_H",2018,"Aesculus","flava","Aesculus flava","Yellow buckeye","12651*H",114,117,NA,49.1,1.7272,"07-01-1906",NA,NA,202.072222222222,226.783333333333,NA,NA,NA,75.2,86.75,NA,NA,NA,1008.52777777778
"69","AEFL_12651_H",2019,"Aesculus","flava","Aesculus flava","Yellow buckeye","12651*H",NA,124,NA,49.1,1.5113,"07-01-1906",NA,NA,NA,290.016666666667,NA,NA,NA,NA,123.430555555556,NA,NA,NA,1382.65833333333
"70","AEFL_12651_H",2020,"Aesculus","flava","Aesculus flava","Yellow buckeye","12651*H",NA,112,189,49.1,2.0955,"07-01-1906",77,NA,NA,222.944444444445,1110.22222222222,887.277777777778,NA,NA,75.8055555555556,654.25,578.444444444445,NA,1266
"71","AEFL_12651_I",2016,"Aesculus","flava","Aesculus flava","Yellow buckeye","12651*I",114,116,280,61.1,0.4572,"07-01-1906",164,166,288.936111111111,300.675,2728.03333333333,2427.35833333333,2439.09722222222,126.936111111111,133.136111111111,1792.975,1659.83888888889,1666.03888888889,1626.05555555556
"72","AEFL_12651_I",2017,"Aesculus","flava","Aesculus flava","Yellow buckeye","12651*I",107,114,270,61.1,1.2192,"07-01-1906",156,163,239.694444444445,269.911111111111,2490.41388888889,2220.50277777778,2250.71944444444,108.530555555556,121.766666666667,1600.68055555556,1478.91388888889,1492.15,1450.73333333333
"73","AEFL_12651_I",2018,"Aesculus","flava","Aesculus flava","Yellow buckeye","12651*I",116,117,260,61.1,1.2192,"07-01-1906",143,144,220.191666666667,226.783333333333,2490.51666666667,2263.73333333333,2270.325,83.6027777777778,86.75,1657.28611111111,1570.53611111111,1573.68333333333,1008.52777777778
"74","AEFL_12651_I",2019,"Aesculus","flava","Aesculus flava","Yellow buckeye","12651*I",104,109,257,61.1,1.3208,"07-01-1906",148,153,162.980555555556,202.997222222222,2284.04166666667,2081.04444444445,2121.06111111111,62.1694444444445,86.3694444444445,1483.01111111111,1396.64166666667,1420.84166666667,1419.71944444445
"75","AEFL_12651_I",2020,"Aesculus","flava","Aesculus flava","Yellow buckeye","12651*I",119,120,272,61.1,1.1938,"07-01-1906",152,153,238.388888888889,241.694444444445,2562.77777777778,2321.08333333333,2324.38888888889,79.6944444444445,80.5000000000001,1702.94444444444,1622.44444444444,1623.25,1261.30555555556
"76","AEFL_12651_I",2021,"Aesculus","flava","Aesculus flava","Yellow buckeye","12651*I",110,110,272,61.1,2.3241,"07-01-1906",162,162,218.333333333333,218.333333333333,2554.55555555555,2336.22222222222,2336.22222222222,97.3333333333333,97.3333333333333,1671,1573.66666666667,1573.66666666667,1184.91666666667
"77","AEFL_12651_I",2022,"Aesculus","flava","Aesculus flava","Yellow buckeye","12651*I",115,115,199,61.1,1.5113,"07-01-1906",84,84,277,277,1397.58333333333,1120.58333333333,1120.58333333333,114.694444444444,114.694444444444,845.777777777777,731.083333333333,731.083333333333,1332.22222222222
"78","AEFL_12651_I",2023,"Aesculus","flava","Aesculus flava","Yellow buckeye","12651*I",NA,112,268,61.1,2.4384,"07-01-1906",156,NA,NA,283.527777777778,2495.41666666667,2211.88888888889,NA,NA,104.611111111111,1592.83333333333,1488.22222222222,NA,1460.77777777778
"79","AEFL_12651_I",2024,"Aesculus","flava","Aesculus flava","Yellow buckeye","12651*I",108,113,245,61.1,1.7018,"07-01-1906",132,137,191.444444444444,213.111111111111,2211.75,1998.63888888889,2020.30555555555,68.5277777777777,76.6666666666666,1448.69444444444,1372.02777777778,1380.16666666667,1274.02777777778
"346","AEFL_925-79_B",2015,"Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B",NA,NA,218,44.5,5.9944,"09-24-1979",NA,NA,NA,NA,1632.97222222222,NA,NA,NA,NA,1060.07222222222,NA,NA,NA
"347","AEFL_925-79_B",2016,"Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B",110,112,274,44.5,3.7338,"09-24-1979",162,164,250.702777777778,265.2,2676.37222222222,2411.17222222222,2425.66944444444,104.172222222222,113.066666666667,1766.95277777778,1653.88611111111,1662.78055555556,1646.125
"348","AEFL_925-79_B",2017,"Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B",101,108,NA,44.5,3.1242,"09-24-1979",NA,NA,183.927777777778,242.377777777778,NA,NA,NA,75.2638888888889,108.713888888889,NA,NA,NA,1463.78611111111
"349","AEFL_925-79_B",2018,"Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B",112,116,249,44.5,4.7625,"09-24-1979",133,137,188.944444444444,220.191666666667,2333.45555555556,2113.26388888889,2144.51111111111,67.0722222222222,83.6027777777778,1555.225,1471.62222222222,1488.15277777778,1011.675
"350","AEFL_925-79_B",2019,"Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B",107,107,270,44.5,5.715,"09-24-1979",163,163,182.938888888889,182.938888888889,2455.125,2272.18611111111,2272.18611111111,73.8111111111112,73.8111111111112,1595.06111111111,1521.25,1521.25,1432.27777777778
"351","AEFL_925-79_B",2020,"Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B",105,111,264,44.5,5.207,"09-24-1979",153,159,203.861111111111,219.638888888889,2457.97222222222,2238.33333333333,2254.11111111111,70.4444444444445,75.0000000000001,1633.25,1558.25,1562.80555555555,1266.80555555556
